,msa_code,lat,lon,nearest_dist,nearest_location
360,C2478,35.59329897,-77.37449655,379.6321750250291,College Park
361,C2482,40.13322398,-84.61931914,249.93550677555933,Ann Arbor
362,C2486,34.68511708,-82.4138517,208.84150521974988,Atlanta
363,C2490,33.49839529,-90.10641288,530.3074026640643,Atlanta
364,C2494,34.15383056,-82.12593001,213.17649570276745,Atlanta
365,C2498,33.76995386,-89.80200615,500.58456882824595,Atlanta
366,C2502,17.98041777,-66.06990728,2528.423778260728,Atlanta
367,C2506,30.48360417,-89.00062193,566.4998345314247,Atlanta
368,C2510,36.74790217,-101.49010009999999,490.3677388089405,Boulder
369,C2518,39.54990248,-77.98137696,109.31797887853966,College Park
370,C2520,43.42679508,-114.21882009999999,353.1951534710824,Salt Lake City
371,C2522,30.62665232,-90.40568053,485.8647838945558,Houston
372,C2526,36.07536045,-119.8155027,257.04986125432424,Palo Alto
373,C2530,39.66116633,-91.5701488,288.294791559382,Urbana-Champaign
374,C2542,40.32667129,-77.10119459,149.32110803848818,College Park
375,C2546,36.08458987,-93.1643666,607.7719856923899,Lincoln
376,C2550,38.51049871,-78.87570634,176.29456863336839,College Park
377,C2554,41.71812866,-72.57266142,141.0242469852016,Cambridge
378,C2558,40.52446871,-98.50120896,156.64321403257247,Lincoln
379,C2562,31.278628700000002,-89.29501051,536.165431846139,Atlanta
380,C2570,38.91475125,-99.31723162,307.98044033738836,Lincoln
381,C2572,40.65905853,-111.038499,72.74404612244231,Salt Lake City
382,C2574,46.81280246,-112.29614,673.7376023278678,Salt Lake City
383,C2576,34.42829125,-90.8480221,599.6337296629581,Atlanta
384,C2578,36.36491693,-78.40792888,319.241476650989,College Park
385,C2582,34.96601904,-102.60492679999999,608.6055593141647,Boulder
386,C2584,45.52501005,-119.06489450000001,340.4447087293312,Seattle
387,C2586,35.81290377,-81.45428409,352.28491152042324,Atlanta
388,C2588,41.88776749,-84.5929278,83.33410271889355,Ann Arbor
389,C2590,19.60239682,-155.5228859,3786.333840703106,Palo Alto
390,C2594,32.38448908,-80.83468764,364.26456269102425,Atlanta
391,C2598,31.78530955,-81.57238709999999,342.2151344079378,Atlanta
392,C2602,32.79214937,-103.4124782,820.1187650294758,Boulder
393,C2609,42.59367327,-86.29176519,170.5452128862338,Argonne
394,C2614,28.84756969,-82.52010673,573.5982423123908,Atlanta
395,C2622,45.51902792,-121.65109140000001,237.84943212702308,Seattle
396,C2626,33.70280694,-93.50385614,473.2202208944797,Houston
397,C2630,34.57670176,-93.15039965,575.5039544194159,Houston
398,C2634,47.5713319,-88.33169170000001,652.4251163533715,Argonne
399,C2638,29.40488767,-90.65750662,456.1865696154071,Houston
400,C2642,29.75000681,-95.35403601,0.42347010625642995,Houston
401,C2646,42.25007012,-73.63187049999999,207.76906914128102,Cambridge
402,C2650,40.416934499999996,-77.98120754,170.54545187962887,Pittsburgh
403,C2654,40.82923996,-85.48817228,217.61328551402306,Ann Arbor
